sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,giftcard_type,giftcard_allow_open_amount,giftcard_open_amount_min,giftcard_open_amount_max,giftcard_amount,use_config_is_redeemable,giftcard_is_redeemable,use_config_lifetime,giftcard_lifetime,use_config_allow_message,giftcard_allow_message,use_config_email_template,giftcard_email_template,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,downloadable_links,downloadable_samples,associated_skus
"Iphone 13 pro-light blue",,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,"Iphone 13 pro-light blue",,,10.000000,1,"Taxable Goods",Catalog,150000.000000,,,,iphone-13-pro-light-blue,"Iphone 13 pro","Iphone 13 pro","Iphone 13 pro ",/i/p/ip2_1_1.jpeg,,/i/p/ip2_1_1.jpeg,,/i/p/ip2_1_1.jpeg,,/i/p/ip2_1_1.jpeg,,"18/8/22, 10:24 am","2/12/22, 10:23 am",,,"Product Info Column",,,,No,"Solwin FreeGo Child",,,,"Product -- Full Width",,"Use config",चीन,"color=light blue,gift_wrapping_available=Yes,is_featured=No",140.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/i/p/ip2_1_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iphone 13 pro",,Default,configurable,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category,New Category/Blogs","base,St","Iphone 13 pro",,"<h1 style=""text-align: center;""><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/nkyof8coGvk"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></h1>
",10.000000,1,"Taxable Goods","Catalog, Search",,,,,iphone-13-pro,"Iphone 13 pro","Iphone 13 pro","Iphone 13 pro ",/i/p/ip3.jpeg,,/i/p/ip3.jpeg,,/i/p/ip3.jpeg,,,,"18/8/22, 10:24 am","31/10/22, 12:32 pm",31/10/22,,"Product Info Column",,,,"Use config","Solwin FreeGo Child",,,,"Page -- Full Width",,"Use config",चीन,"gift_wrapping_available=Use config,is_featured=No,size=XL,specifications=Rom : 250 GB </br>
Camera : 80px </br>
Proc  : 250 up nm</br>
Display : super amlode display </br>
Water proff : yes </br>
Battery : 3000 mAh </br>",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,"Iphone 13 pro-white,Iphone 13 pro-green,Iphone 13 pro-black,Iphone 13 pro-light blue","1,2,3,4",,,,,"/i/p/ip3.jpeg,/i/p/iphone.jpg,/a/p/apple_iphone-13-pro_new-camera-system_09142021_full-bleed-image.jpg.slideshow-xlarge.jpg,/7/1/71swv6dt2il._sy355_.jpg",",,,",,"name=delivery,type=radio,required=1,price=5.000000,sku=1d,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=1 Day delivery|name=delivery,type=radio,required=1,price=2.000000,sku=2d,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=2 Days delivery|name=delivery,type=radio,required=1,price=1.000000,sku=3d,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=3 Days delivery|name=delivery,type=radio,required=1,price=0.000000,sku=7d,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=7 Days delivery|name=delivery,type=radio,required=1,price=0.000000,sku=8d,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=8 Days delivery|name=Warrenty,type=radio,required=1,price=5000.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=1 Year|name=Warrenty,type=radio,required=1,price=9000.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=2 Year",,,,,,,,,,,,,,,,,,,,"sku=Iphone 13 pro-white,color=white|sku=Iphone 13 pro-green,color=green|sku=Iphone 13 pro-black,color=black|sku=Iphone 13 pro-light blue,color=light blue",color=Color,,,
"Iphone 13 pro",sv,Default,configurable,,,,,"<h1 style=""text-align: center;""><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/XKfgdkcIUxw"" width=""460"" height=""300"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></h1>",,,,,,,,,,,,,,,,,,,,,,,9/9/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus ROG laptop",,Default,simple,"Default Category,Default Category/Hot Deals,Default Category/Electronics,New Category,New Category/Hot Deals","base,St","Asus ROG laptop",,,2.000000,1,"Taxable Goods","Catalog, Search",85500.000000,75000.000000,21/10/22,,asus-rog,"Asus ROG laptop","Asus ROG laptop","Asus ROG laptop ",/2/0/2019-01-31-product-7.jpg,,/2/0/2019-01-31-product-7.jpg,,/2/0/2019-01-31-product-7.jpg,,/2/0/2019-01-31-product-7.jpg,,"26/8/22, 6:13 am","2/12/22, 10:22 am",,,"Block after Info Column",,,,Yes,"Solwin FreeGo Child",,,,"Page -- Full Width",,"Use config","अमेरिकी समोआ","cost=85000.000000,gift_wrapping_available=Yes,gift_wrapping_price=20.000000,is_featured=No",70.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/2/0/2019-01-31-product-7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexa Speaker",,Default,simple,"Default Category,Default Category/Hot Deals,Default Category/Electronics,Default Category/Electronics/Home use",base,"Alexa Speaker",,,1.000000,1,"Taxable Goods","Catalog, Search",1000.000000,,,,alexa,"Alexa Speaker","Alexa Speaker","Alexa Speaker ",/9/0/9005344555038.png,,/9/0/9005344555038.png,,/9/0/9005344555038.png,,/9/0/9005344555038.png,,"26/8/22, 6:15 am","2/12/22, 10:21 am",,,"Block after Info Column",,,,Yes,"Hiddentechies Bentriz",,,,"Page -- Full Width",,"Use config",अज़रबैजान,"color=white,gift_wrapping_available=Yes,gift_wrapping_price=20.000000,is_featured=Yes",29.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/9/0/9005344555038.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noise Watch",,Default,simple,"Default Category,Default Category/Electronics,Default Category/Electronics/Home use,Default Category/Hot Deals/Today Deals",base,"Noise Watch",,,0.500000,1,"Taxable Goods","Catalog, Search",500.000000,,,,noise,"Noise Watch","Noise Watch","Noise Watch ",/6/1/61xzuxwwozs._sl1200_.jpg,,/6/1/61xzuxwwozs._sl1200_.jpg,,/6/1/61xzuxwwozs._sl1200_.jpg,,/6/1/61xzuxwwozs._sl1200_.jpg,,"26/8/22, 6:17 am","2/12/22, 10:21 am",,,"Block after Info Column",,,,Yes,,,,,"1 column",,"Use config",बहरीन,"gift_wrapping_available=Yes,gift_wrapping_price=5.000000,is_featured=Yes",17.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/6/1/61xzuxwwozs._sl1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noise Watch",default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hiddentechies Bentriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boat Earbuds",,Default,simple,"Default Category,Default Category/Hot Deals,Default Category/Electronics,Default Category/Electronics/Home use",base,"Boat Earbuds",,,0.100000,1,"Taxable Goods","Catalog, Search",4000.000000,,,,boat-buds,"Boat Earbuds","Boat Earbuds","Boat Earbuds ",/u/c/uctav6pb.jpg,,/u/c/uctav6pb.jpg,,/u/c/uctav6pb.jpg,,/u/c/uctav6pb.jpg,,"26/8/22, 6:19 am","9/11/22, 9:47 am",9/11/22,21/10/22,"Block after Info Column",,,,Yes,"Hiddentechies Bentriz",,,,"Page -- Full Width",,"Use config",,"gift_wrapping_available=Yes,is_featured=Yes",300.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,/u/c/uctav6pb.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iphone 13 pro max",,Default,simple,"Default Category/Hot Deals,Default Category/Electronics,Default Category/Electronics/Mobiles,New Category/Hot Deals",base,"Iphone 13 pro max",,,0.100000,1,"Taxable Goods","Catalog, Search",2000.000000,,,,iphone-13-pro-max,"Iphone 13 pro max","Iphone 13 pro max","Iphone 13 pro max ",/i/p/ip4.jpeg,,/i/p/ip4.jpeg,,/i/p/ip4.jpeg,,/i/p/ip4.jpeg,,"1/9/22, 8:51 am","2/12/22, 10:05 am",,,"Block after Info Column",,,,"Use config","Hiddentechies Bentriz",,,,"Page -- Full Width",,"Use config","अमेरिकी समोआ","gift_wrapping_available=Use config,is_featured=Yes",6.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/i/p/ip4.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyboard,,Default,simple,"Default Category,Default Category/Hot Deals,Default Category/Electronics,Default Category/Electronics/Home use,New Category,New Category/Hot Deals",base,Keyboard,,,0.500000,1,"Taxable Goods","Catalog, Search",500.000000,,,,keyboard,Keyboard,Keyboard,"Keyboard ",/6/1/61vjnmgygll._ac_sl1500_.jpg,hi,/6/1/61vjnmgygll._ac_sl1500_.jpg,hi,/6/1/61vjnmgygll._ac_sl1500_.jpg,hi,/6/1/61vjnmgygll._ac_sl1500_.jpg,,"1/9/22, 10:04 am","2/12/22, 10:10 am",2/12/22,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",बहरीन,"gift_wrapping_available=Use config,is_featured=Yes",19.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,"Noise Watch,Asus ROG laptop,Boat Earbuds","1,2,3",/6/1/61vjnmgygll._ac_sl1500_.jpg,hi,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boat Earbuds-1",,Default,simple,"Default Category,Default Category/Hot Deals,Default Category/Electronics,Default Category/Electronics/Home use,New Category/Hot Deals,New Category/Blogs","base,St","Boat Earbuds",,,0.100000,1,"Taxable Goods","Catalog, Search",500.000000,,,,boat-earbuds,"Boat Earbuds","Boat Earbuds","Boat Earbuds ",/6/1/61wv1dj0pal._sl1500__1.jpg,,/6/1/61wv1dj0pal._sl1500__1.jpg,,/6/1/61wv1dj0pal._sl1500__1.jpg,,/6/1/61wv1dj0pal._sl1500__1.jpg,,"1/9/22, 11:07 am","2/12/22, 10:09 am",2/12/22,,"Block after Info Column",,,,Yes,"Hiddentechies Bentriz",,,,"Page -- Full Width",,"Use config",बांग्लादेश,"gift_wrapping_available=Use config,gift_wrapping_price=10.000000,is_featured=Yes",478.0000,0.0000,0,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,"Noise Watch,Boat Earbuds,Keyboard","1,2,3",,,,,/6/1/61wv1dj0pal._sl1500__1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boat Earbuds-1",sv,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/10/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Full set",,Default,grouped,"Default Category/Electronics,Default Category/Electronics/Home use",base,"Laptop Full set",,,,1,,"Catalog, Search",,,,,laptop-full-set,"Laptop Full set","Laptop Full set","Laptop Full set ",/2/0/2019-01-31-product-7_1.jpg,,/2/0/2019-01-31-product-7_1.jpg,,/2/0/2019-01-31-product-7_1.jpg,,,,"2/9/22, 8:59 am","29/11/22, 5:49 am",28/11/22,,"Block after Info Column",,,,"Use config","Solwin FreeGo Child",,,,"Page -- Full Width",,,अफ़गानिस्तान,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,"/2/0/2019-01-31-product-7_1.jpg,/6/1/61vjnmgygll._ac_sl1500__1.jpg,/9/0/9005344555038_1.png",",,",,,,,,,,,,,,,,,,,,,,,,,,,,"Alexa Speaker=1.000000,Asus ROG laptop=1.000000,Keyboard=2.000000"
"Mobile ss",,Default,simple,"Default Category/Hot Deals,Default Category/Electronics",base,"Mobile ss",,,0.500000,1,"Taxable Goods","Catalog, Search",15000.000000,,,,mobile-ss,"Mobile ss","Mobile ss","Mobile ss ",/m/o/mo_1.jpeg,,/m/o/mo_1.jpeg,,/m/o/mo_1.jpeg,,/m/o/mo_1.jpeg,,"2/9/22, 12:31 pm","2/12/22, 10:08 am",,,"Block after Info Column",,,,"Use config","Solwin FreeGo",,,,"Page -- Full Width",,"Use config",बांग्लादेश,"gift_wrapping_available=Use config,is_featured=Yes",12.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/m/o/mo_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magento Cource",,Default,downloadable,"Default Category/Hot Deals,New Category/Blogs",base,"Magento Cource",,,,1,"Taxable Goods","Catalog, Search",1500.000000,,,,magento-cource,"Magento Cource","Magento Cource","Magento Cource ",/n/i/nike-logo.png,,/n/i/nike-logo.png,,/n/i/nike-logo.png,,,,"21/10/22, 1:51 pm","2/12/22, 10:07 am",,,"Block after Info Column",,,,"Use config",,,,,"Page -- Full Width",,"Use config",,"is_featured=Yes,links_purchased_separately=0,links_title=Links,samples_title=Samples",8.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/n/i/nike-logo.png,,,,,,,,,,,,,,,,,,,,,,,,,"link_id=2,id=2,title=Magento,sort_order=1,price=0.000000,link_type=file,link_file=/h/e/helloworld.zip",,
demo,,Default,simple,"New Category,New Category/Hot Deals,New Category/Blogs",base,demo,,,10.000000,1,"Taxable Goods","Catalog, Search",50.000000,,,,demo,demo,demo,"demo ",,,,,,,,,"25/10/22, 8:48 am","28/10/22, 7:35 am",,,"Block after Info Column",,,,"Use config",,,,,"Page -- Full Width",,"Use config","एलैंड द्वीपसमूह","gift_wrapping_available=Use config,is_featured=No,size=XL",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/s/i/simple.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo,sm,Default,simple,,,,,,,,,,,,,,,,,,/s/i/simple.jpg,,/s/i/simple.jpg,,/s/i/simple.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung-a50,,Default,Default,"Default Category/Mens/Jeans",base,"Samsung A50 ",,,,1,,"Not Visible Individually",,,,,samsung-a50,,,,,,,,,,,,"25/10/22, 2:29 pm","25/10/22, 2:29 pm",,,"Block after Info Column",,,,,,,,,,,,,size=168,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-Champ,,Default,configurable,"Default Category/Electronics,Default Category/Electronics/Mobiles,New Category",base,"Champ Tee","The Champ Tee keeps you cool and dry while you do your thing. Let everyone know who you are by adding your name on the back for only $10.",,0.500000,1,"Taxable Goods","Catalog, Search",0.000000,,,,champ-tee,,,,,,,,,,,,"25/10/22, 2:33 pm","26/10/22, 6:35 am",,,"Block after Info Column",,,,,,,,,,,"Use config",,color=52,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"samsung A 50s",,Default,simple,"New Category/Hot Deals,New Category/Gadgets",base,"Samsung A 50s",,,0.300000,1,"Taxable Goods","Not Visible Individually",20000.000000,,,,samsung-a-50s,,,,,,,,,,,,"26/10/22, 8:31 am","2/12/22, 10:07 am",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"gift_wrapping_available=No,is_featured=No",30.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
